,status,nb_redirection,length_words_raw,phish_hints,ratio_intHyperlinks,ratio_extHyperlinks,ratio_intHyperlinks,external_favicon,domain_with_copyright,domain_age,web_traffic,google_index,page_rank,url_length,hostname_length,special_characters_count,use_https,ratio_digits_url,ratio_digits_url
34,1,0,6,0,0.542857143,0.457142857,0.542857143,1,0,9316,13,0,7,66,17,9,1,0.21212121212121213,0.21212121212121213
35,1,0,2,0,0.375,0.625,0.375,0,0,7849,0,0,4,35,26,6,1,0.0,0.0
36,0,0,16,0,0.3117506,0.6882494,0.3117506,1,1,3920,0,0,2,113,24,19,0,0.0,0.0
37,1,1,6,0,0.481481481,0.518518519,0.481481481,0,0,5159,0,0,8,41,34,9,0,0.0,0.0
38,1,0,4,0,0.875,0.125,0.875,0,1,-1,74862,0,3,23,12,7,0,0.0,0.0
39,1,0,3,1,0.732240437,0.267759563,0.732240437,0,0,5230,5828226,0,7,31,24,6,0,0.0,0.0
40,0,0,9,4,1.0,0.0,1.0,0,0,3125,0,1,1,84,30,12,0,0.0,0.0
41,0,0,3,0,1.0,0.0,1.0,0,0,5026,544886,1,4,29,17,6,0,0.0,0.0
42,0,2,10,2,0.545454545,0.454545455,0.545454545,1,1,2300,0,1,2,98,26,14,0,0.29591836734693877,0.29591836734693877
43,1,0,1,0,0.971428571,0.028571429,0.971428571,0,0,2580,1671658,0,2,15,8,4,0,0.0,0.0
44,1,1,8,0,0.939622642,0.060377358,0.939622642,0,1,5825,7698,0,7,65,22,11,0,0.0,0.0
45,0,1,14,0,0.115384615,0.884615385,0.115384615,1,0,8019,0,1,4,131,27,19,1,0.030534351145038167,0.030534351145038167
46,1,0,5,0,0.741935484,0.258064516,0.741935484,1,0,7839,607,0,6,50,23,8,1,0.0,0.0
47,0,1,3,0,0.0,1.0,0.0,1,0,2306,0,1,0,51,32,7,0,0.0,0.0
48,1,0,6,0,0.976190476,0.023809524,0.976190476,0,0,-1,6431,0,6,45,11,9,1,0.13333333333333333,0.13333333333333333
49,0,1,12,0,0.923076923,0.076923077,0.923076923,0,1,1500,0,1,0,159,14,16,0,0.27044025157232704,0.27044025157232704
50,0,0,4,0,0.953488372,0.046511628,0.953488372,1,0,2739,11657,1,6,44,22,8,1,0.22727272727272727,0.22727272727272727
51,0,0,9,0,0.84375,0.15625,0.84375,1,1,134,1508317,1,2,103,19,12,1,0.07766990291262135,0.07766990291262135
52,0,0,7,0,0.0,0.0,0.0,0,0,7802,0,1,5,46,20,10,0,0.0,0.0
53,1,0,5,0,0.920948617,0.079051383,0.920948617,0,0,7133,12,0,7,45,16,8,1,0.0,0.0
54,0,4,4,0,0.615384615,0.384615385,0.615384615,1,1,1690,0,1,2,51,26,9,0,0.0,0.0
55,0,1,5,0,0.766304348,0.233695652,0.766304348,1,1,1588,0,1,0,38,19,8,0,0.0,0.0
56,0,1,5,0,0.966666667,0.033333333,0.966666667,0,0,5767,0,1,2,81,27,8,0,0.2839506172839506,0.2839506172839506
57,1,1,14,0,0.614457831,0.385542169,0.614457831,1,0,7615,2190,0,5,112,31,17,0,0.0,0.0
58,0,1,4,2,0.740740741,0.259259259,0.740740741,1,1,8348,1,0,10,39,16,7,1,0.0,0.0
59,0,0,11,1,0.37037037,0.62962963,0.37037037,1,1,8348,1,1,10,99,15,14,1,0.08080808080808081,0.08080808080808081
60,1,1,4,0,0.974576271,0.025423729,0.974576271,0,1,6989,2203390,1,4,45,27,7,1,0.0,0.0
61,0,0,8,2,0.19047619,0.80952381,0.19047619,1,1,5615,0,1,5,60,35,11,0,0.03333333333333333,0.03333333333333333
62,1,1,14,0,0.0,0.0,0.0,0,1,9327,4053,0,5,74,19,17,0,0.08108108108108109,0.08108108108108109
63,1,1,8,0,0.944444444,0.055555556,0.944444444,0,1,3561,6010,0,4,61,18,11,0,0.0,0.0
64,0,0,4,0,0.0,0.0,0.0,0,0,5614,0,0,5,40,32,7,1,0.125,0.125
65,0,0,5,0,0.0,0.0,0.0,0,0,5408,0,1,1,52,24,8,0,0.038461538461538464,0.038461538461538464
66,0,1,11,0,0.0,1.0,0.0,0,0,8346,1,1,10,88,24,14,1,0.0,0.0
67,1,1,7,0,0.988023952,0.011976048,0.988023952,0,0,5877,24587,0,5,74,12,11,0,0.02702702702702703,0.02702702702702703
68,1,2,6,0,0.941107185,0.058892815,0.941107185,1,1,2633,827,1,7,46,16,9,0,0.06521739130434782,0.06521739130434782
69,1,1,5,0,0.0,0.0,0.0,0,1,6512,1680566,0,4,54,17,8,0,0.0,0.0
70,0,1,5,1,0.6,0.4,0.6,0,0,-1,0,1,0,54,21,9,0,0.0,0.0
71,1,0,5,0,0.937662338,0.062337662,0.937662338,0,0,7134,12,1,7,38,16,8,1,0.0,0.0
72,1,0,8,0,0.617924528,0.382075472,0.617924528,1,1,9394,1294,0,6,67,15,11,0,0.0,0.0
73,0,0,7,2,0.0,0.0,0.0,0,0,5044,0,1,0,62,13,14,0,0.0,0.0
74,0,0,7,1,1.0,0.0,1.0,0,0,2573,0,1,0,59,17,10,0,0.06779661016949153,0.06779661016949153
75,0,0,5,0,0.0,0.0,0.0,0,0,1246,7048,1,4,57,38,8,1,0.017543859649122806,0.017543859649122806
76,1,1,3,0,0.772727273,0.227272727,0.772727273,1,1,2872,8400,0,3,32,12,7,0,0.0,0.0
77,0,0,4,0,0.0,0.0,0.0,0,0,4537,0,1,1,46,25,8,0,0.0,0.0
78,1,0,4,0,0.964824121,0.035175879,0.964824121,0,0,7133,12,0,7,37,16,7,1,0.0,0.0
79,0,1,2,0,0.071428571,0.928571429,0.071428571,1,0,7295,0,1,5,36,29,5,0,0.027777777777777776,0.027777777777777776
80,0,1,7,1,1.0,0.0,1.0,0,0,973,8238037,1,2,52,18,10,0,0.038461538461538464,0.038461538461538464
81,0,1,2,0,0.0,1.0,0.0,1,1,7296,0,1,5,32,24,6,0,0.25,0.25
82,1,0,2,0,0.52,0.48,0.52,0,0,7491,63,0,10,34,11,5,1,0.0,0.0
83,1,0,2,0,0.212121212,0.787878788,0.212121212,1,1,-1,479698,0,2,27,19,7,0,0.0,0.0
84,0,0,7,3,1.0,0.0,1.0,0,1,-1,0,1,1,92,22,12,0,0.30434782608695654,0.30434782608695654
85,1,1,13,0,0.864864865,0.135135135,0.864864865,1,0,8442,43102,0,5,102,12,17,0,0.058823529411764705,0.058823529411764705
86,1,0,2,0,0.546961326,0.453038674,0.546961326,1,1,2277,2426481,0,3,32,23,6,1,0.0,0.0
87,1,0,2,0,0.691358025,0.308641975,0.691358025,0,1,1800,0,0,3,29,20,6,1,0.0,0.0
88,0,0,15,3,0.846938776,0.153061224,0.846938776,1,1,-1,0,1,4,119,24,18,0,0.008403361344537815,0.008403361344537815
89,1,1,6,1,0.968992248,0.031007752,0.968992248,0,1,3952,3862928,0,4,59,21,9,1,0.06779661016949153,0.06779661016949153
90,1,1,5,0,0.887755102,0.112244898,0.887755102,0,0,4855,128132,0,4,54,19,8,0,0.0,0.0
91,0,0,6,0,0.511111111,0.488888889,0.511111111,1,1,166,0,1,0,151,10,9,0,0.271523178807947,0.271523178807947
92,1,1,11,0,0.5,0.5,0.5,1,0,4093,52436,0,4,84,25,14,0,0.03571428571428571,0.03571428571428571
93,0,2,7,3,0.804878049,0.195121951,0.804878049,1,1,-1,1080262,1,2,55,10,11,0,0.0,0.0
94,1,0,1,0,0.961098398,0.038901602,0.961098398,1,1,-1,294723,0,2,18,9,5,1,0.0,0.0
95,1,0,3,0,0.328467153,0.671532847,0.328467153,1,0,8516,8,0,10,39,16,6,1,0.0,0.0
96,1,0,3,0,0.935779817,0.064220183,0.935779817,0,1,7689,381695,0,3,28,19,7,1,0.0,0.0
97,1,1,5,0,0.709677419,0.290322581,0.709677419,1,0,5913,86462,0,5,32,16,8,0,0.0,0.0
98,1,0,1,0,0.769784173,0.230215827,0.769784173,1,0,-1,2346124,0,2,16,9,4,0,0.0,0.0
99,0,0,2,0,0.0,0.0,0.0,0,0,4141,0,1,0,23,12,6,0,0.0,0.0
100,1,1,2,0,0.038461538,0.961538462,0.038461538,1,1,4664,0,0,4,29,21,7,0,0.0,0.0
101,0,0,2,0,0.919354839,0.080645161,0.919354839,0,0,317,0,0,0,29,20,6,1,0.0,0.0
102,1,0,4,0,0.8,0.2,0.8,0,0,4566,44445,0,5,41,15,7,1,0.0,0.0
103,0,1,2,0,0.5,0.5,0.5,0,0,-1,3523,1,9,22,6,5,1,0.18181818181818182,0.18181818181818182
104,0,0,7,0,0.0,1.0,0.0,0,0,657,0,1,0,52,14,11,0,0.038461538461538464,0.038461538461538464
105,0,0,5,0,1.0,0.0,1.0,0,0,-1,9412550,1,2,38,20,10,0,0.02631578947368421,0.02631578947368421
106,1,1,2,0,0.402597403,0.597402597,0.402597403,1,1,-1,0,0,2,30,21,7,1,0.0,0.0
107,0,1,7,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,76,50,10,0,0.10526315789473684,0.10526315789473684
108,0,1,81,3,0.428571429,0.571428571,0.428571429,1,1,-1,0,1,0,430,13,99,0,0.03953488372093023,0.03953488372093023
109,1,1,3,0,0.921052632,0.078947368,0.921052632,0,1,4823,212735,1,4,37,19,6,0,0.0,0.0
110,1,1,9,0,0.754098361,0.245901639,0.754098361,0,1,11046,545,0,6,73,23,12,0,0.0684931506849315,0.0684931506849315
111,0,0,7,0,0.0,0.0,0.0,0,0,2939,0,1,0,56,15,14,0,0.10714285714285714,0.10714285714285714
112,1,0,11,0,0.788461538,0.211538462,0.788461538,1,0,3385,12180,1,5,70,13,14,1,0.0,0.0
113,0,0,7,0,0.0,0.0,0.0,0,0,7802,0,1,5,70,20,10,0,0.0,0.0
114,1,2,6,0,0.879518072,0.120481928,0.879518072,0,1,-1,241891,1,5,52,19,9,0,0.07692307692307693,0.07692307692307693
115,1,0,3,0,0.083333333,0.916666667,0.083333333,1,1,5366,3913090,0,2,31,22,7,1,0.0,0.0
116,0,1,8,1,0.615384615,0.384615385,0.615384615,0,1,2112,0,1,1,90,19,11,1,0.24444444444444444,0.24444444444444444
117,1,1,6,0,0.93968254,0.06031746,0.93968254,1,1,7156,2272,0,3,45,15,9,0,0.15555555555555556,0.15555555555555556
118,1,0,6,0,0.844155844,0.155844156,0.844155844,0,1,7602,145276,0,4,55,20,9,0,0.03636363636363636,0.03636363636363636
119,0,0,8,0,1.0,0.0,1.0,0,0,135,0,1,0,65,12,12,0,0.07692307692307693,0.07692307692307693
120,0,0,3,0,0.222826087,0.777173913,0.222826087,1,1,1546,4669,1,2,41,33,7,0,0.07317073170731707,0.07317073170731707
121,0,0,8,0,0.288659794,0.711340206,0.288659794,1,1,7,0,1,0,71,25,11,1,0.16901408450704225,0.16901408450704225
122,0,0,8,1,0.0,1.0,0.0,1,0,8348,1,1,10,83,16,12,1,0.07228915662650602,0.07228915662650602
123,0,0,4,0,1.0,0.0,1.0,0,0,-1,0,1,0,73,18,8,0,0.3424657534246575,0.3424657534246575
124,0,1,5,0,1.0,0.0,1.0,0,0,184,0,1,0,44,30,8,0,0.20454545454545456,0.20454545454545456
125,0,0,12,2,1.0,0.0,1.0,0,0,2403,819233,0,3,114,16,17,0,0.05263157894736842,0.05263157894736842
126,0,1,13,0,1.0,0.0,1.0,0,1,3992,5697976,1,0,127,50,18,1,0.15748031496062992,0.15748031496062992
127,0,1,9,0,0.59375,0.40625,0.59375,1,1,254,0,0,0,99,20,12,0,0.0707070707070707,0.0707070707070707
128,0,0,7,1,0.815789474,0.184210526,0.815789474,0,1,6041,0,1,1,56,20,11,0,0.0,0.0
129,1,2,5,0,0.795918367,0.204081633,0.795918367,1,1,7284,2788,1,7,51,17,8,1,0.0,0.0
130,0,1,6,3,1.0,0.0,1.0,0,0,-1,0,1,0,51,14,10,0,0.0,0.0
131,1,1,5,0,0.979591837,0.020408163,0.979591837,0,0,-1,1166803,0,3,40,24,9,1,0.0,0.0
132,0,1,5,1,0.944827586,0.055172414,0.944827586,1,0,5111,5692030,1,1,33,14,10,0,0.0,0.0
133,1,0,10,0,0.972972973,0.027027027,0.972972973,1,0,8024,88431,0,5,88,20,14,1,0.0,0.0
134,1,0,18,0,0.925465839,0.074534161,0.925465839,1,0,5993,5488,0,7,122,18,21,1,0.04918032786885246,0.04918032786885246
135,1,1,5,0,0.886792453,0.113207547,0.886792453,1,0,2684,188662,0,4,53,20,8,0,0.0,0.0
136,0,1,7,0,1.0,0.0,1.0,0,0,725,23941,1,1,46,37,11,1,0.08695652173913043,0.08695652173913043
137,0,1,2,0,0.071428571,0.928571429,0.071428571,1,0,7295,0,1,5,36,29,5,0,0.0,0.0
138,1,0,2,0,0.421875,0.578125,0.421875,1,0,3754,3847776,0,4,31,23,6,0,0.0,0.0
139,1,0,7,0,0.590909091,0.409090909,0.590909091,1,0,5381,299694,0,5,48,16,11,1,0.0,0.0
140,0,0,11,1,0.447368421,0.552631579,0.447368421,1,1,3743,0,1,2,101,6,14,1,0.0,0.0
141,1,0,5,0,0.0,0.0,0.0,0,1,5416,435027,0,3,41,19,8,0,0.0,0.0
142,0,0,4,1,1.0,0.0,1.0,0,0,1901,0,1,0,43,35,8,0,0.09302325581395349,0.09302325581395349
143,1,0,1,0,0.0,0.0,0.0,0,0,3937,0,0,2,15,8,4,0,0.0,0.0
144,1,2,7,0,0.864864865,0.135135135,0.864864865,0,0,6668,1677903,1,4,42,10,10,0,0.07142857142857142,0.07142857142857142
145,1,1,5,0,0.356687898,0.643312102,0.356687898,1,0,4413,225825,0,5,51,15,9,0,0.0,0.0
146,0,0,8,0,0.0,0.0,0.0,0,0,3983,0,1,0,48,27,11,0,0.0,0.0
147,1,0,4,0,0.899521531,0.100478469,0.899521531,0,1,7732,81846,0,5,49,19,8,0,0.0,0.0
148,0,0,3,0,0.954545455,0.045454545,0.954545455,0,1,2647,0,0,1,25,13,8,1,0.0,0.0
149,1,0,7,0,0.714723926,0.285276074,0.714723926,1,1,9285,121,0,7,49,15,10,1,0.02040816326530612,0.02040816326530612
150,1,1,5,0,0.90070922,0.09929078,0.90070922,0,0,8047,1577,0,5,48,25,8,0,0.020833333333333332,0.020833333333333332
151,0,1,12,3,0.9,0.1,0.9,0,0,531,0,1,0,108,25,15,0,0.037037037037037035,0.037037037037037035
152,0,0,3,0,0.0,0.0,0.0,0,0,1028,0,1,0,39,20,7,0,0.0,0.0
153,1,2,9,0,0.883561644,0.116438356,0.883561644,0,1,5334,1137149,1,4,80,20,13,0,0.0,0.0
154,1,2,4,0,0.216666667,0.783333333,0.216666667,0,1,7602,2368410,1,4,36,17,7,0,0.0,0.0
155,1,0,3,0,0.612980769,0.387019231,0.612980769,1,1,6460,1119897,0,4,28,19,7,1,0.0,0.0
156,0,0,3,1,0.125,0.875,0.125,1,0,1953,4365,1,3,33,14,6,1,0.06060606060606061,0.06060606060606061
157,1,0,2,0,0.642857143,0.357142857,0.642857143,0,0,-1,7600,0,4,23,14,7,1,0.0,0.0
158,1,0,9,0,0.63322884,0.36677116,0.63322884,1,1,5224,137,0,8,77,18,12,1,0.0,0.0
159,0,0,30,1,0.483870968,0.516129032,0.483870968,1,1,-1,1554194,1,2,342,19,38,1,0.4152046783625731,0.4152046783625731
160,0,0,3,0,1.0,0.0,1.0,0,0,189,0,1,2,38,29,7,1,0.13157894736842105,0.13157894736842105
161,1,2,9,2,0.695945946,0.304054054,0.695945946,1,1,6203,38365,1,5,73,22,12,0,0.0,0.0
162,1,0,4,0,0.490566038,0.509433962,0.490566038,1,1,5639,2,0,10,33,15,7,1,0.0,0.0
163,0,0,9,0,0.0,0.0,0.0,0,0,1785,7811868,1,2,67,17,12,0,0.0,0.0
164,1,1,4,0,0.652777778,0.347222222,0.652777778,0,0,6431,15489,1,5,39,18,7,1,0.05128205128205128,0.05128205128205128
165,1,0,2,0,0.959752322,0.040247678,0.959752322,1,1,2254,219358,0,4,24,15,6,1,0.0,0.0
166,1,0,2,0,0.867924528,0.132075472,0.867924528,1,0,-1,543542,0,3,26,17,6,1,0.0,0.0
167,1,0,6,0,0.0,0.0,0.0,0,1,9253,21542,0,6,39,7,9,1,0.1282051282051282,0.1282051282051282
168,0,1,5,0,0.0,0.0,0.0,0,0,5825,0,1,0,62,22,8,0,0.3548387096774194,0.3548387096774194
169,0,1,5,2,0.829268293,0.170731707,0.829268293,0,0,1899,507771,1,1,41,13,8,0,0.0,0.0
170,0,0,2,0,0.071428571,0.928571429,0.071428571,1,0,7295,0,1,5,40,31,6,1,0.0,0.0
171,1,0,6,0,0.875,0.125,0.875,0,0,4120,632334,0,3,51,26,9,0,0.0,0.0
172,1,1,8,0,0.882706767,0.117293233,0.882706767,0,1,3650,7053,1,5,59,12,11,1,0.06779661016949153,0.06779661016949153
173,1,0,6,0,0.896103896,0.103896104,0.896103896,1,1,8044,2580,0,6,50,20,9,1,0.0,0.0
174,0,1,4,0,0.932038835,0.067961165,0.932038835,1,1,6831,0,1,0,52,25,8,0,0.057692307692307696,0.057692307692307696
175,0,1,5,0,0.238095238,0.761904762,0.238095238,1,0,3904,0,1,0,43,15,8,0,0.0,0.0
176,0,1,10,0,0.122807018,0.877192982,0.122807018,1,0,4183,0,1,3,94,42,13,0,0.1276595744680851,0.1276595744680851
177,1,1,6,0,0.987012987,0.012987013,0.987012987,0,0,2403,62284,0,3,60,15,9,0,0.0,0.0
178,1,1,1,0,0.80952381,0.19047619,0.80952381,1,1,-1,1111694,0,2,18,11,4,0,0.0,0.0
179,0,0,11,1,0.583333333,0.416666667,0.583333333,1,0,7968,892,0,7,204,27,15,1,0.1323529411764706,0.1323529411764706
180,0,1,10,1,0.0,1.0,0.0,0,0,8346,1,0,10,94,24,13,1,0.1595744680851064,0.1595744680851064
181,0,2,5,0,0.95,0.05,0.95,0,0,-1,0,1,0,41,33,9,0,0.0,0.0
182,0,0,2,0,1.0,0.0,1.0,0,1,1154,0,1,0,19,11,6,0,0.15789473684210525,0.15789473684210525
183,0,0,4,0,0.0,0.0,0.0,0,0,3608,0,1,0,35,22,7,0,0.02857142857142857,0.02857142857142857
184,0,0,7,0,0.173913043,0.826086957,0.173913043,1,0,2870,0,1,2,63,26,10,0,0.0,0.0
185,0,1,6,0,0.0,0.0,0.0,0,0,5972,0,1,0,53,21,9,0,0.07547169811320754,0.07547169811320754
186,0,0,11,1,0.19047619,0.80952381,0.19047619,1,1,5616,0,1,5,75,44,15,0,0.0,0.0
187,0,1,2,0,0.0,1.0,0.0,1,0,6381,0,1,3,35,27,5,1,0.11428571428571428,0.11428571428571428
188,0,0,33,0,0.0,0.0,0.0,0,0,8348,1,0,10,210,14,37,1,0.06666666666666667,0.06666666666666667
189,1,0,4,0,0.871559633,0.128440367,0.871559633,0,1,4825,128305,0,5,44,13,7,1,0.0,0.0
190,0,0,7,0,1.0,0.0,1.0,0,0,4405,0,1,0,150,40,12,0,0.4866666666666667,0.4866666666666667
191,0,1,4,0,0.0,0.0,0.0,0,0,570,0,1,2,39,22,9,0,0.0,0.0
192,0,0,9,2,0.242424242,0.757575758,0.242424242,1,0,3381,6240092,1,2,64,15,13,0,0.0,0.0
193,0,0,14,0,0.0,0.0,0.0,0,0,4681,4701900,0,3,106,20,18,1,0.16037735849056603,0.16037735849056603
194,0,0,3,0,0.980769231,0.019230769,0.980769231,0,0,-1,5496959,0,0,34,20,7,1,0.0,0.0
195,1,0,9,0,0.903892944,0.096107056,0.903892944,0,0,7133,12,0,7,65,16,12,1,0.0,0.0
196,0,0,10,3,0.242424242,0.757575758,0.242424242,1,0,2290,10725245,1,2,60,14,13,0,0.03333333333333333,0.03333333333333333
197,0,2,2,0,0.857142857,0.142857143,0.857142857,0,0,896,0,1,0,25,14,6,0,0.0,0.0
198,1,1,4,0,0.626373626,0.373626374,0.626373626,1,1,6901,11507,0,5,39,21,7,0,0.1282051282051282,0.1282051282051282
199,1,0,6,0,0.970149254,0.029850746,0.970149254,0,1,3899,207904,0,4,38,15,9,0,0.0,0.0
200,0,0,15,0,0.909090909,0.090909091,0.909090909,0,0,-2,9675493,1,0,129,8,23,1,0.023255813953488372,0.023255813953488372
201,1,0,7,0,0.807142857,0.192857143,0.807142857,0,0,9224,18386,0,5,52,15,10,1,0.0,0.0
202,0,0,9,0,0.0,0.0,0.0,0,0,-1,0,1,0,30,14,8,0,0.36666666666666664,0.36666666666666664
203,1,0,2,0,0.619047619,0.380952381,0.619047619,1,0,7449,0,0,8,33,24,6,1,0.0,0.0
204,1,1,12,0,0.375,0.625,0.375,1,1,7287,0,0,4,118,27,15,0,0.07627118644067797,0.07627118644067797
205,1,1,2,0,0.913793103,0.086206897,0.913793103,1,1,2625,8571696,0,2,27,20,5,0,0.0,0.0
206,1,0,13,0,0.0,0.0,0.0,0,1,11192,1465,0,6,78,16,16,0,0.16666666666666666,0.16666666666666666
207,0,1,3,0,1.0,0.0,1.0,0,0,2839,0,1,2,35,27,7,0,0.02857142857142857,0.02857142857142857
208,0,2,3,0,0.971428571,0.028571429,0.971428571,1,1,-1,5497323,1,0,32,18,7,0,0.0,0.0
209,0,0,10,2,0.181818182,0.818181818,0.181818182,1,1,5615,0,1,5,64,39,13,0,0.0625,0.0625
210,0,0,3,0,1.0,0.0,1.0,0,0,189,0,1,2,38,29,7,1,0.07894736842105263,0.07894736842105263
211,1,0,2,0,0.835820896,0.164179104,0.835820896,1,0,4996,179875,0,4,24,15,7,1,0.0,0.0
212,1,1,6,0,0.755102041,0.244897959,0.755102041,1,0,3526,24047,0,5,68,15,9,0,0.0,0.0
213,0,0,12,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,126,50,19,1,0.16666666666666666,0.16666666666666666
214,1,0,5,0,0.943952802,0.056047198,0.943952802,0,1,7130,12,0,7,41,16,8,1,0.0,0.0
215,1,0,6,0,0.911627907,0.088372093,0.911627907,0,0,7134,13,0,7,48,16,9,1,0.0,0.0
216,1,0,2,0,0.333333333,0.666666667,0.333333333,1,0,3904,0,0,2,29,21,6,0,0.0,0.0
217,1,0,2,0,0.861111111,0.138888889,0.861111111,1,0,2980,1168093,0,2,24,15,6,1,0.0,0.0
218,1,0,7,2,0.99690881,0.00309119,0.99690881,1,0,7427,193,0,7,50,17,10,1,0.02,0.02
219,0,1,13,0,1.0,0.0,1.0,0,1,3992,5697976,1,0,126,50,18,0,0.11904761904761904,0.11904761904761904
220,1,0,5,0,0.943502825,0.056497175,0.943502825,1,1,8627,5781,0,6,39,11,9,1,0.0,0.0
221,0,1,9,3,0.897727273,0.102272727,0.897727273,0,0,2047,0,1,0,102,15,12,0,0.19607843137254902,0.19607843137254902
222,1,0,2,0,0.608695652,0.391304348,0.608695652,1,1,2425,0,0,2,31,23,6,0,0.06451612903225806,0.06451612903225806
223,0,0,8,0,0.0,0.0,0.0,0,0,5826,0,1,0,86,22,13,0,0.27906976744186046,0.27906976744186046
224,1,0,11,0,0.544401544,0.455598456,0.544401544,1,1,6068,4211,0,4,78,16,15,1,0.10256410256410256,0.10256410256410256
225,1,0,2,0,0.166666667,0.833333333,0.166666667,1,0,3477,7290834,0,2,29,20,7,1,0.0,0.0
226,1,2,4,0,0.747841105,0.252158895,0.747841105,1,1,8965,70,0,8,33,12,7,0,0.21212121212121213,0.21212121212121213
227,0,0,3,0,0.0,1.0,0.0,1,0,7,0,0,0,27,12,7,0,0.0,0.0
228,1,0,2,0,0.833333333,0.166666667,0.833333333,0,1,-1,373207,0,2,24,15,6,1,0.0,0.0
229,1,0,3,0,0.845132743,0.154867257,0.845132743,1,0,6096,83476,0,4,39,20,7,1,0.0,0.0
