,nb_redirection,length_words_raw,phish_hints,ratio_intHyperlinks,ratio_extHyperlinks,ratio_intHyperlinks,external_favicon,domain_with_copyright,domain_age,web_traffic,google_index,page_rank,url_length,hostname_length,special_characters_count,use_https,ratio_digits_url,ratio_digits_url
3783,0,4,0,0.214285714,0.785714286,0.214285714,0,0,4309,630249,0,2,38,15,8,0,0.0,0.0
1008,0,4,0,0.984375,0.015625,0.984375,0,0,-1,6084468,0,3,38,20,7,0,0.0,0.0
9544,0,3,0,0.590909091,0.409090909,0.590909091,1,1,5159,8007434,0,8,33,20,9,1,0.0,0.0
2185,0,3,0,0.132075472,0.867924528,0.132075472,1,1,-1,0,0,0,37,29,7,1,0.02702702702702703,0.02702702702702703
3623,0,6,0,0.19047619,0.80952381,0.19047619,1,1,5616,0,1,5,64,35,9,1,0.21875,0.21875
11185,1,2,0,0.0,1.0,0.0,1,0,2139,309382,1,7,26,10,5,1,0.038461538461538464,0.038461538461538464
7078,1,2,0,1.0,0.0,1.0,0,0,-1,0,1,0,26,18,6,0,0.0,0.0
11061,0,3,0,0.402439024,0.597560976,0.402439024,1,0,8515,8,0,10,45,16,6,1,0.0,0.0
8142,0,3,0,0.217821782,0.782178218,0.217821782,1,1,7296,589799,0,5,32,25,6,0,0.0,0.0
7278,1,6,0,0.994565217,0.005434783,0.994565217,0,0,-1,340,1,7,46,14,9,0,0.17391304347826086,0.17391304347826086
4834,1,1,0,0.972972973,0.027027027,0.972972973,0,1,4573,0,0,3,24,15,6,1,0.0,0.0
7826,1,2,0,0.071428571,0.928571429,0.071428571,1,0,7295,0,1,5,33,26,5,0,0.030303030303030304,0.030303030303030304
4756,1,5,0,0.818181818,0.181818182,0.818181818,0,1,4350,0,1,0,44,10,8,0,0.06818181818181818,0.06818181818181818
10946,0,24,0,0.857142857,0.142857143,0.857142857,0,0,1,0,1,0,146,29,27,1,0.1232876712328767,0.1232876712328767
90,1,5,0,0.887755102,0.112244898,0.887755102,0,0,4855,128132,0,4,54,19,8,0,0.0,0.0
9968,1,2,0,0.071428571,0.928571429,0.071428571,1,0,7295,0,1,5,32,25,5,0,0.03125,0.03125
470,0,2,0,0.952741021,0.047258979,0.952741021,1,1,3097,500444,0,4,29,20,6,1,0.0,0.0
1326,0,3,0,0.0,1.0,0.0,1,0,2191,16063,1,5,49,28,9,1,0.0,0.0
7359,0,6,0,0.894736842,0.105263158,0.894736842,0,1,4375,654847,0,4,71,25,10,1,0.0,0.0
9198,1,5,0,0.569620253,0.430379747,0.569620253,1,0,7619,2192,0,5,72,36,8,0,0.0,0.0
2117,0,5,0,0.25,0.75,0.25,1,0,1534,0,1,0,44,32,9,0,0.13636363636363635,0.13636363636363635
2937,0,2,0,0.817843866,0.182156134,0.817843866,0,0,6820,697320,0,4,26,17,6,1,0.0,0.0
888,0,2,0,0.84375,0.15625,0.84375,0,0,4532,97339,0,2,26,17,6,1,0.0,0.0
983,1,7,4,1.0,0.0,1.0,0,1,1163,0,1,0,71,19,11,0,0.0,0.0
8654,0,4,0,0.978723404,0.021276596,0.978723404,0,0,7957,237963,1,5,39,17,7,0,0.0,0.0
6983,1,5,0,0.594594595,0.405405405,0.594594595,1,0,7618,2188,0,5,69,31,8,0,0.0,0.0
9839,1,10,0,0.5,0.5,0.5,0,0,6242,2409,0,6,76,17,13,0,0.0,0.0
2925,1,2,0,0.0,0.0,0.0,0,0,-1,0,1,3,16,5,5,1,0.0625,0.0625
7072,0,6,1,0.0,1.0,0.0,1,0,8347,1,1,10,70,16,9,1,0.14285714285714285,0.14285714285714285
3214,0,2,0,0.432258065,0.567741935,0.432258065,1,1,-1,256371,0,3,29,20,7,1,0.0,0.0
5884,0,10,0,0.874100719,0.125899281,0.874100719,1,0,9283,124,0,7,82,15,13,1,0.2073170731707317,0.2073170731707317
2341,0,4,0,0.571428571,0.428571429,0.571428571,0,1,3424,2089560,1,2,204,20,8,1,0.13725490196078433,0.13725490196078433
8224,0,8,0,0.0,1.0,0.0,1,0,7764,32,0,5,132,16,11,1,0.05303030303030303,0.05303030303030303
7219,0,13,0,0.845070423,0.154929577,0.845070423,0,1,8837,671,0,7,93,20,16,1,0.10752688172043011,0.10752688172043011
8696,1,3,0,0.0,0.0,0.0,0,0,-1,6284693,1,2,53,13,6,0,0.39622641509433965,0.39622641509433965
9036,0,9,3,0.142857143,0.857142857,0.142857143,0,1,2887,0,1,1,87,27,13,0,0.16091954022988506,0.16091954022988506
7612,1,1,0,0.722222222,0.277777778,0.722222222,1,0,7424,5697494,0,2,22,15,5,0,0.0,0.0
627,0,9,2,0.916666667,0.083333333,0.916666667,0,1,1256,0,1,1,68,15,12,0,0.0,0.0
7198,1,6,0,0.911764706,0.088235294,0.911764706,1,0,7928,12091,1,4,48,18,10,0,0.0,0.0
4947,0,5,0,0.0,0.0,0.0,0,0,3798,9506603,1,0,37,10,8,0,0.02702702702702703,0.02702702702702703
5080,0,7,0,0.3,0.7,0.3,1,0,657,0,1,0,57,49,11,0,0.0,0.0
4244,0,4,0,0.866666667,0.133333333,0.866666667,1,0,6342,0,1,7,45,36,8,1,0.0,0.0
6733,1,7,0,1.0,0.0,1.0,0,1,3992,5697976,1,0,76,50,10,0,0.10526315789473684,0.10526315789473684
4765,0,2,0,0.787234043,0.212765957,0.787234043,1,0,9040,151949,0,6,27,18,6,1,0.0,0.0
1601,1,5,0,0.0,0.0,0.0,0,0,7219,737,0,6,41,14,8,0,0.0,0.0
10974,0,4,0,0.939393939,0.060606061,0.939393939,1,1,-1,33164,1,4,33,15,7,0,0.0,0.0
1269,0,2,0,0.0,0.0,0.0,0,0,-1,0,1,0,27,15,7,0,0.0,0.0
128,0,7,1,0.815789474,0.184210526,0.815789474,0,1,6041,0,1,1,56,20,11,0,0.0,0.0
8588,0,17,0,0.888888889,0.111111111,0.888888889,0,1,1533,4623,1,2,144,32,24,1,0.09027777777777778,0.09027777777777778
1711,0,6,0,0.032258065,0.967741935,0.032258065,0,1,1015,1196152,1,2,73,50,9,0,0.2465753424657534,0.2465753424657534
4182,2,17,0,0.88,0.12,0.88,0,0,12122,1006,1,7,124,13,20,0,0.03225806451612903,0.03225806451612903
9557,0,13,2,0.185729276,0.814270724,0.185729276,1,1,7792,557,0,8,111,19,16,1,0.10810810810810811,0.10810810810810811
4235,0,4,1,0.315789474,0.684210526,0.315789474,1,1,1547,4639,1,2,43,26,7,0,0.06976744186046512,0.06976744186046512
6821,0,2,0,0.668874172,0.331125828,0.668874172,1,1,2914,1680589,0,2,37,28,6,1,0.0,0.0
2398,1,5,0,0.87755102,0.12244898,0.87755102,0,1,5454,1885,0,5,41,19,8,0,0.0,0.0
7782,1,4,0,0.25,0.75,0.25,1,0,2310,436286,0,4,52,15,8,0,0.0,0.0
11259,1,4,0,0.727272727,0.272727273,0.727272727,1,1,-1,2404290,1,2,43,17,7,1,0.0,0.0
10685,0,5,0,0.974358974,0.025641026,0.974358974,0,0,3751,0,0,2,35,13,8,1,0.0,0.0
7936,2,6,2,0.688888889,0.311111111,0.688888889,1,1,5138,0,1,4,42,11,9,0,0.0,0.0
9628,1,12,0,0.586956522,0.413043478,0.586956522,1,0,5414,55888,0,4,90,16,16,0,0.011111111111111112,0.011111111111111112
1186,0,1,0,0.80952381,0.19047619,0.80952381,0,1,8337,558870,0,5,20,11,5,1,0.0,0.0
8730,0,12,0,0.553571429,0.446428571,0.553571429,0,1,6261,524,0,7,83,21,16,1,0.0,0.0
11192,0,22,3,0.4,0.6,0.4,1,0,-1,0,1,0,117,13,30,0,0.017094017094017096,0.017094017094017096
7873,0,2,0,0.916666667,0.083333333,0.916666667,0,1,5066,448940,0,4,22,14,6,0,0.09090909090909091,0.09090909090909091
1977,0,2,0,0.0,0.0,0.0,0,0,2670,0,1,0,28,16,6,0,0.0,0.0
5314,0,9,0,1.0,0.0,1.0,0,0,4631,1569597,1,1,86,26,12,1,0.023255813953488372,0.023255813953488372
11298,0,2,0,0.880952381,0.119047619,0.880952381,1,1,5115,2590,0,5,31,22,6,1,0.0,0.0
4247,0,27,0,0.272727273,0.727272727,0.272727273,1,0,8018,0,1,4,294,34,32,1,0.1836734693877551,0.1836734693877551
9068,1,13,0,0.912408759,0.087591241,0.912408759,0,1,9549,5890,0,6,109,11,17,0,0.03669724770642202,0.03669724770642202
915,1,10,0,0.794871795,0.205128205,0.794871795,1,0,6132,28405,1,5,60,16,13,0,0.0,0.0
1305,0,9,0,0.666666667,0.333333333,0.666666667,0,1,5522,2866973,0,3,63,21,13,1,0.0,0.0
7163,0,9,0,0.943661972,0.056338028,0.943661972,0,0,7223,405472,0,2,77,19,13,1,0.0,0.0
3049,0,2,0,0.181818182,0.818181818,0.181818182,1,0,7297,5358359,0,5,32,24,6,0,0.0,0.0
10888,0,5,0,0.579136691,0.420863309,0.579136691,1,0,-1,956800,0,3,35,21,9,1,0.0,0.0
1273,0,8,2,0.857142857,0.142857143,0.857142857,0,1,-1,0,1,0,62,15,13,0,0.016129032258064516,0.016129032258064516
5698,1,15,3,1.0,0.0,1.0,0,0,2618,0,1,0,98,13,20,1,0.10204081632653061,0.10204081632653061
9284,1,9,0,0.0,0.0,0.0,0,1,5273,41333,0,4,62,15,12,0,0.0967741935483871,0.0967741935483871
2796,0,26,0,0.857142857,0.142857143,0.857142857,0,0,216,0,1,0,243,37,29,1,0.2222222222222222,0.2222222222222222
1398,1,2,0,0.0,1.0,0.0,1,0,6381,0,1,3,34,26,5,1,0.11764705882352941,0.11764705882352941
3358,1,11,0,1.0,0.0,1.0,0,0,5634,0,1,5,108,45,19,0,0.09259259259259259,0.09259259259259259
183,0,4,0,0.0,0.0,0.0,0,0,3608,0,1,0,35,22,7,0,0.02857142857142857,0.02857142857142857
9570,0,2,0,0.978021978,0.021978022,0.978021978,0,0,-1,0,0,3,21,14,5,0,0.0,0.0
7471,1,4,0,0.966666667,0.033333333,0.966666667,0,0,5767,0,1,2,77,23,7,0,0.2857142857142857,0.2857142857142857
8013,0,13,4,0.333333333,0.666666667,0.333333333,1,0,4609,0,1,3,101,21,16,0,0.0,0.0
10462,0,10,0,0.714285714,0.285714286,0.714285714,0,0,6699,4589207,0,4,74,15,13,0,0.0,0.0
8076,0,7,1,0.0,1.0,0.0,1,0,8348,1,1,10,70,16,10,1,0.1,0.1
8673,0,6,1,0.242424242,0.757575758,0.242424242,1,0,1974,0,1,1,51,21,9,0,0.0,0.0
4567,1,3,0,0.932038835,0.067961165,0.932038835,1,1,6866,271260,0,2,43,26,7,0,0.0,0.0
8775,0,8,0,0.375,0.625,0.375,1,0,7446,0,0,8,73,28,12,1,0.1643835616438356,0.1643835616438356
9275,2,6,0,0.0,0.0,0.0,0,0,-1,0,1,0,40,16,9,0,0.0,0.0
2656,0,1,0,0.304347826,0.695652174,0.304347826,1,1,804,2352138,1,2,22,14,5,0,0.0,0.0
11129,0,7,0,0.0,0.0,0.0,0,0,8415,0,0,2,63,55,11,0,0.06349206349206349,0.06349206349206349
4305,0,6,1,0.829268293,0.170731707,0.829268293,0,0,1899,507771,0,1,42,13,9,0,0.047619047619047616,0.047619047619047616
1961,0,3,0,1.0,0.0,1.0,0,0,21,0,1,0,36,19,6,1,0.0,0.0
4992,1,5,0,0.0,0.0,0.0,0,0,4377,0,1,1,74,14,10,0,0.20270270270270271,0.20270270270270271
4891,0,2,0,0.52,0.48,0.52,0,0,7491,63,0,10,27,11,5,1,0.037037037037037035,0.037037037037037035
6138,2,8,2,0.545454545,0.454545455,0.545454545,1,1,2300,0,1,2,60,22,11,0,0.1,0.1
5815,1,2,0,0.25,0.75,0.25,1,0,1588,1905203,0,2,28,20,6,0,0.0,0.0
5869,0,4,1,1.0,0.0,1.0,0,0,2675,0,0,0,37,17,7,0,0.0,0.0
8271,0,2,0,0.897435897,0.102564103,0.897435897,0,1,4910,10530414,0,4,35,26,6,1,0.0,0.0
6395,0,5,0,0.4,0.6,0.4,1,1,3229,0,1,0,51,43,9,0,0.19607843137254902,0.19607843137254902
10839,0,7,0,0.98630137,0.01369863,0.98630137,0,1,627,2110939,0,0,142,22,10,1,0.06338028169014084,0.06338028169014084
6226,0,3,0,0.914285714,0.085714286,0.914285714,1,0,6867,306936,1,4,43,24,7,1,0.023255813953488372,0.023255813953488372
8631,0,6,0,0.19047619,0.80952381,0.19047619,1,1,5616,0,1,5,61,32,9,1,0.08196721311475409,0.08196721311475409
11398,0,8,0,0.0,0.0,0.0,0,1,12560,13756,0,6,70,18,11,1,0.11428571428571428,0.11428571428571428
8035,0,4,1,0.957746479,0.042253521,0.957746479,0,1,7417,0,1,3,51,26,8,0,0.0,0.0
1251,1,3,0,1.0,0.0,1.0,0,0,1338,22211,1,6,37,25,7,0,0.21621621621621623,0.21621621621621623
3176,0,2,0,0.65,0.35,0.65,1,1,-1,4055114,0,3,28,19,6,1,0.0,0.0
5072,1,3,0,0.905357143,0.094642857,0.905357143,1,0,8414,176808,1,4,30,16,6,1,0.0,0.0
3359,0,28,0,0.853658537,0.146341463,0.853658537,1,1,5636,2,0,10,263,15,34,1,0.17870722433460076,0.17870722433460076
6577,0,8,0,0.534161491,0.465838509,0.534161491,1,1,4300,846519,1,5,61,16,12,1,0.06557377049180328,0.06557377049180328
7188,0,2,0,0.878378378,0.121621622,0.878378378,1,1,2085,156886,0,2,34,25,6,1,0.0,0.0
8879,0,16,0,0.0,1.0,0.0,1,0,7423,289,0,7,98,13,19,1,0.0,0.0
10126,0,10,0,0.0,0.0,0.0,0,1,-1,60011,0,4,66,19,13,0,0.09090909090909091,0.09090909090909091
10283,0,7,3,0.65,0.35,0.65,1,0,3023,0,1,1,57,18,10,1,0.0,0.0
3289,0,8,0,0.772727273,0.227272727,0.772727273,0,0,5058,77435,0,4,121,24,14,0,0.23140495867768596,0.23140495867768596
10324,0,4,0,0.0,0.0,0.0,0,0,1953,4365,1,3,48,14,7,1,0.0625,0.0625
9988,0,13,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,128,50,19,1,0.203125,0.203125
3190,1,8,0,0.433333333,0.566666667,0.433333333,0,1,6923,466083,0,5,61,21,11,0,0.09836065573770492,0.09836065573770492
7420,1,7,0,1.0,0.0,1.0,0,0,5643,0,1,1,62,27,11,0,0.0,0.0
8608,0,4,0,0.0,0.0,0.0,0,0,8256,171444,0,4,34,23,8,0,0.0,0.0
1051,0,2,0,0.934782609,0.065217391,0.934782609,1,0,6031,1327039,0,3,29,20,6,1,0.0,0.0
4069,1,4,0,0.766666667,0.233333333,0.766666667,0,0,9204,690,0,6,41,18,7,0,0.0,0.0
6671,0,2,0,0.833333333,0.166666667,0.833333333,0,1,8052,3775557,0,4,33,25,6,0,0.0,0.0
7890,0,8,0,0.19047619,0.80952381,0.19047619,1,1,5627,0,1,5,64,35,11,1,0.21875,0.21875
9574,0,3,0,1.0,0.0,1.0,0,0,6998,2435691,0,2,30,21,7,1,0.0,0.0
272,0,1,0,0.9,0.1,0.9,0,0,-1,1860135,0,3,17,9,5,0,0.0,0.0
2042,1,2,0,0.137931034,0.862068966,0.137931034,1,1,4337,648389,0,4,29,21,6,0,0.0,0.0
4763,0,12,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,119,42,18,0,0.17647058823529413,0.17647058823529413
9564,0,2,1,0.0,1.0,0.0,1,0,7412,1561104,1,2,36,29,5,0,0.0,0.0
6834,0,2,0,0.15,0.85,0.15,0,1,4995,561890,0,2,32,23,6,1,0.0,0.0
10541,1,9,0,0.950617284,0.049382716,0.950617284,1,0,-1,266000,0,4,63,19,12,0,0.12698412698412698,0.12698412698412698
1086,1,9,0,0.773195876,0.226804124,0.773195876,1,1,5415,14668,0,6,66,30,13,0,0.0,0.0
8664,0,2,0,0.0,1.0,0.0,1,1,1228,0,0,1,30,21,6,1,0.0,0.0
8249,0,10,0,0.0,0.0,0.0,0,0,-1,0,1,0,89,11,13,0,0.0,0.0
9090,0,13,0,0.079545455,0.920454545,0.079545455,0,1,4620,10598549,0,4,85,19,17,0,0.11764705882352941,0.11764705882352941
2186,1,6,3,0.666666667,0.333333333,0.666666667,0,0,836,0,1,0,54,19,9,0,0.018518518518518517,0.018518518518518517
10134,0,2,0,0.6,0.4,0.6,1,1,7296,0,1,5,56,47,6,1,0.375,0.375
4322,0,3,0,0.962686567,0.037313433,0.962686567,0,1,4172,1380,0,8,31,18,7,1,0.0,0.0
11223,1,2,0,0.906976744,0.093023256,0.906976744,1,1,5776,197005,0,5,25,18,5,0,0.0,0.0
9112,0,5,1,0.333333333,0.666666667,0.333333333,1,0,-1,0,1,0,41,15,8,1,0.0,0.0
5831,1,2,0,0.924528302,0.075471698,0.924528302,1,0,-1,745423,0,4,21,13,6,0,0.09523809523809523,0.09523809523809523
8769,1,8,1,0.932038835,0.067961165,0.932038835,1,1,7053,2073867,1,1,111,24,11,0,0.1981981981981982,0.1981981981981982
7247,1,9,0,0.444444444,0.555555556,0.444444444,1,0,-1,4194715,0,3,66,17,12,0,0.10606060606060606,0.10606060606060606
10226,1,4,0,0.142857143,0.857142857,0.142857143,1,1,7430,5517,1,6,39,9,8,1,0.0,0.0
8229,1,7,0,0.847058824,0.152941176,0.847058824,0,1,-2,0,1,2,49,16,10,0,0.0,0.0
4709,1,2,0,0.932038835,0.067961165,0.932038835,1,1,7053,2114381,1,1,35,27,6,0,0.05714285714285714,0.05714285714285714
7433,0,2,0,0.083333333,0.916666667,0.083333333,1,1,7297,2885582,0,5,30,21,6,1,0.0,0.0
9321,0,4,0,0.0,0.0,0.0,0,0,1953,4365,1,3,37,14,7,1,0.16216216216216217,0.16216216216216217
9378,0,5,0,0.0,0.0,0.0,0,0,3077,0,1,1,42,8,11,0,0.14285714285714285,0.14285714285714285
11017,3,4,0,0.801980198,0.198019802,0.801980198,1,0,6321,64759,0,5,35,12,7,0,0.0,0.0
3478,0,10,0,1.0,0.0,1.0,0,0,5186,10408014,1,1,89,15,16,0,0.056179775280898875,0.056179775280898875
8741,1,2,0,0.8,0.2,0.8,1,0,3229,7969012,0,2,24,16,6,0,0.0,0.0
3924,0,2,0,0.125,0.875,0.125,1,0,7296,10098991,0,5,31,23,6,0,0.0,0.0
1748,1,2,0,0.875,0.125,0.875,0,0,4898,1296086,0,3,32,24,6,0,0.0,0.0
732,2,6,0,0.891304348,0.108695652,0.891304348,1,0,7156,2272,1,3,42,14,9,0,0.11904761904761904,0.11904761904761904
2553,0,9,0,1.0,0.0,1.0,0,0,59,0,1,0,70,18,12,1,0.0,0.0
8251,1,4,0,0.879310345,0.120689655,0.879310345,1,0,6609,931,1,5,47,27,7,1,0.0851063829787234,0.0851063829787234
10293,1,2,0,0.962962963,0.037037037,0.962962963,0,0,-1,0,0,3,22,14,6,0,0.0,0.0
8742,0,6,0,0.697560976,0.302439024,0.697560976,1,1,5225,137,0,8,59,18,9,1,0.0,0.0
2662,0,4,0,1.0,0.0,1.0,0,0,-1,482936,1,2,34,13,7,0,0.0,0.0
10157,1,12,0,0.2,0.8,0.2,1,0,6304,8338,0,6,77,7,16,0,0.11688311688311688,0.11688311688311688
7658,0,4,0,0.666666667,0.333333333,0.666666667,1,0,-1,79863,1,1,29,13,7,0,0.034482758620689655,0.034482758620689655
3113,1,5,0,0.958801498,0.041198502,0.958801498,1,1,12471,5469,0,5,56,18,8,0,0.0,0.0
3303,0,14,1,0.483870968,0.516129032,0.483870968,1,1,-1,0,1,0,155,14,20,0,0.4,0.4
6250,3,4,0,0.868791003,0.131208997,0.868791003,1,1,8965,70,1,8,38,12,8,0,0.18421052631578946,0.18421052631578946
1344,0,11,0,0.0,0.0,0.0,0,0,5614,0,1,5,72,45,14,1,0.1111111111111111,0.1111111111111111
10065,0,5,0,0.883116883,0.116883117,0.883116883,0,0,4238,18680,0,5,42,13,8,1,0.23809523809523808,0.23809523809523808
1690,1,8,0,0.745454545,0.254545455,0.745454545,0,1,7919,5635,0,6,61,12,11,0,0.11475409836065574,0.11475409836065574
6594,1,2,0,0.951456311,0.048543689,0.951456311,1,0,8453,3749732,0,2,22,15,5,0,0.0,0.0
8351,1,2,0,0.725490196,0.274509804,0.725490196,1,1,4671,5144638,0,3,25,17,6,0,0.0,0.0
5048,0,4,1,0.344827586,0.655172414,0.344827586,1,1,-1,0,1,0,44,26,8,0,0.0,0.0
6621,1,7,1,1.0,0.0,1.0,0,0,971,4716690,1,3,102,15,10,0,0.24509803921568626,0.24509803921568626
3308,0,9,0,0.0,0.0,0.0,0,0,5613,0,1,5,79,60,14,1,0.2911392405063291,0.2911392405063291
1504,1,7,0,0.362068966,0.637931034,0.362068966,1,1,6057,41,0,8,70,17,10,0,0.11428571428571428,0.11428571428571428
10469,1,2,0,0.071428571,0.928571429,0.071428571,1,0,7295,0,1,5,30,23,5,0,0.03333333333333333,0.03333333333333333
1806,0,6,0,0.876923077,0.123076923,0.876923077,1,1,8046,2603,0,6,50,20,9,1,0.0,0.0
8170,1,15,1,1.0,0.0,1.0,0,0,725,23941,1,1,120,39,19,1,0.175,0.175
7054,1,3,0,0.321428571,0.678571429,0.321428571,1,1,-1,196420,0,4,32,21,7,0,0.0,0.0
3791,0,9,0,0.395061728,0.604938272,0.395061728,1,0,7445,3357138,0,8,72,23,13,1,0.013888888888888888,0.013888888888888888
5217,0,5,0,0.557692308,0.442307692,0.557692308,1,1,5639,2,0,10,43,15,8,1,0.0,0.0
9330,0,2,0,0.9,0.1,0.9,0,1,4514,0,0,2,26,17,7,1,0.0,0.0
10887,0,7,0,0.0,0.0,0.0,0,0,5627,0,1,5,52,43,11,1,0.17307692307692307,0.17307692307692307
1067,2,5,1,0.944444444,0.055555556,0.944444444,1,0,9226,771,1,6,40,13,8,0,0.025,0.025
7745,0,13,2,0.333333333,0.666666667,0.333333333,0,0,4197,0,1,1,76,15,17,0,0.09210526315789473,0.09210526315789473
10854,0,3,0,1.0,0.0,1.0,0,0,5894,35,0,10,32,17,7,1,0.03125,0.03125
7391,1,7,0,1.0,0.0,1.0,0,1,3992,5707171,1,0,76,50,10,0,0.11842105263157894,0.11842105263157894
2696,0,2,0,0.999359385,0.000640615,0.999359385,0,0,-1,0,0,3,20,13,5,0,0.0,0.0
6451,0,8,1,0.0,1.0,0.0,1,0,8348,1,1,10,77,16,11,1,0.03896103896103896,0.03896103896103896
1848,0,5,0,0.228571429,0.771428571,0.228571429,1,0,4184,635867,0,3,48,19,9,1,0.0,0.0
4512,0,3,0,0.0,0.0,0.0,0,0,1461,648670,1,2,34,17,7,1,0.0,0.0
10562,0,13,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,128,50,19,1,0.140625,0.140625
2431,0,4,0,0.945205479,0.054794521,0.945205479,0,0,5397,474447,0,4,39,19,8,0,0.0,0.0
4660,2,5,0,0.177777778,0.822222222,0.177777778,1,1,3890,173,1,10,47,16,9,1,0.0,0.0
3435,1,13,0,1.0,0.0,1.0,0,1,3992,5697976,1,0,126,50,18,0,0.1746031746031746,0.1746031746031746
9171,0,4,1,0.4,0.6,0.4,1,0,3976,0,1,0,31,11,7,0,0.22580645161290322,0.22580645161290322
11057,1,9,0,0.542857143,0.457142857,0.542857143,1,0,8032,79696,1,6,61,11,12,1,0.0,0.0
142,0,4,1,1.0,0.0,1.0,0,0,1901,0,1,0,43,35,8,0,0.09302325581395349,0.09302325581395349
5586,0,24,2,0.421052632,0.578947368,0.421052632,1,1,-1,10524904,1,0,159,6,35,1,0.07547169811320754,0.07547169811320754
10027,0,5,0,0.902298851,0.097701149,0.902298851,0,1,6212,3128,0,5,48,16,8,1,0.0,0.0
7876,0,8,0,0.803921569,0.196078431,0.803921569,0,1,5117,39877,0,5,54,12,11,1,0.037037037037037035,0.037037037037037035
7268,0,2,0,1.0,0.0,1.0,0,1,2695,1453975,0,1,24,16,6,0,0.0,0.0
6100,1,4,0,0.966666667,0.033333333,0.966666667,0,0,5756,0,1,2,77,23,7,0,0.2987012987012987,0.2987012987012987
5290,0,2,0,0.44,0.56,0.44,1,1,7296,0,0,5,35,27,6,0,0.0,0.0
6923,3,2,0,0.445945946,0.554054054,0.445945946,1,1,3965,0,0,2,33,25,6,0,0.0,0.0
