,nb_redirection,length_words_raw,phish_hints,ratio_intHyperlinks,ratio_extHyperlinks,ratio_intHyperlinks,external_favicon,domain_with_copyright,domain_age,web_traffic,google_index,page_rank,url_length,hostname_length,special_characters_count,use_https,ratio_digits_url,ratio_digits_url
1835,0,8,0,0.700507614,0.299492386,0.700507614,1,1,5224,137,0,8,65,18,11,1,0.0,0.0
4439,0,5,0,0.966037736,0.033962264,0.966037736,0,1,7131,12,0,7,45,16,8,1,0.0,0.0
10765,0,3,0,0.0,0.0,0.0,0,0,3593,8552690,1,0,29,18,7,0,0.0,0.0
2742,0,2,0,0.860215054,0.139784946,0.860215054,1,1,8067,657137,0,3,18,10,6,0,0.0,0.0
218,0,7,2,0.99690881,0.00309119,0.99690881,1,0,7427,193,0,7,50,17,10,1,0.02,0.02
1213,0,5,0,0.601265823,0.398734177,0.601265823,1,1,8957,573,0,6,44,16,9,1,0.0,0.0
4687,0,6,0,0.988636364,0.011363636,0.988636364,1,0,7427,192,0,7,45,17,9,1,0.022222222222222223,0.022222222222222223
101,0,2,0,0.919354839,0.080645161,0.919354839,0,0,317,0,0,0,29,20,6,1,0.0,0.0
9481,0,4,0,0.990980834,0.009019166,0.990980834,1,1,8048,2615,0,6,41,20,7,1,0.0,0.0
2452,1,2,0,0.071428571,0.928571429,0.071428571,1,0,7295,0,1,5,36,29,5,0,0.027777777777777776,0.027777777777777776
5123,0,8,1,0.0,0.0,0.0,0,0,255,0,1,0,63,19,12,0,0.0,0.0
7100,0,2,0,0.0,1.0,0.0,1,0,7446,0,1,1,26,19,5,0,0.0,0.0
9729,1,4,1,0.967213115,0.032786885,0.967213115,1,0,2247,50432,0,5,36,9,7,0,0.0,0.0
9970,0,2,0,0.555555556,0.444444444,0.555555556,1,0,-1,0,1,0,39,31,6,0,0.0,0.0
647,0,13,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,124,46,19,1,0.1935483870967742,0.1935483870967742
14,0,2,0,0.933649289,0.066350711,0.933649289,1,0,2041,4297684,0,2,25,16,6,1,0.0,0.0
8625,0,11,0,0.8125,0.1875,0.8125,0,0,5118,92095,0,5,93,21,14,1,0.08602150537634409,0.08602150537634409
5153,0,64,1,0.333333333,0.666666667,0.333333333,1,1,6591,30,1,4,550,25,69,1,0.3527272727272727,0.3527272727272727
4077,0,2,0,1.0,0.0,1.0,0,0,104,63985,1,0,25,17,6,0,0.0,0.0
5945,0,2,0,0.0,1.0,0.0,1,0,5029,2839278,0,3,26,18,6,0,0.0,0.0
10080,0,4,0,0.793650794,0.206349206,0.793650794,0,0,3996,16360,0,4,41,21,7,1,0.0,0.0
5967,1,12,2,0.431578947,0.568421053,0.431578947,1,0,5136,1300,0,7,84,17,16,0,0.011904761904761904,0.011904761904761904
7110,0,1,0,0.0,0.0,0.0,0,0,2208,0,0,0,20,12,6,0,0.0,0.0
2909,0,2,0,0.285714286,0.714285714,0.285714286,1,0,7298,0,0,5,30,22,6,0,0.0,0.0
9039,0,11,0,0.0,0.0,0.0,0,1,7431,27573,1,5,95,23,17,0,0.042105263157894736,0.042105263157894736
2676,0,10,3,1.0,0.0,1.0,0,0,835,0,1,0,96,22,14,0,0.0,0.0
960,0,2,0,0.444444444,0.555555556,0.444444444,1,1,1159,374374,0,1,22,13,6,1,0.0,0.0
5701,1,2,0,0.875,0.125,0.875,1,1,5158,6676220,0,8,27,20,5,0,0.0,0.0
8406,0,7,0,0.777777778,0.222222222,0.777777778,1,0,5230,2585773,0,7,56,17,10,0,0.03571428571428571,0.03571428571428571
4934,0,2,0,0.948717949,0.051282051,0.948717949,0,1,5421,0,0,2,31,22,6,1,0.0,0.0
1785,1,17,0,0.115384615,0.884615385,0.115384615,1,0,8019,0,0,4,133,25,22,1,0.06766917293233082,0.06766917293233082
708,0,13,0,1.0,0.0,1.0,0,0,3453,378322,1,4,103,17,16,0,0.0,0.0
7021,0,7,0,0.813953488,0.186046512,0.813953488,0,0,-1,842241,0,4,62,8,10,1,0.0967741935483871,0.0967741935483871
10935,0,4,0,0.227272727,0.772727273,0.227272727,1,1,5616,0,1,5,55,47,8,0,0.2545454545454545,0.2545454545454545
3753,0,7,3,1.0,0.0,1.0,0,1,-1,0,1,1,92,22,12,0,0.15217391304347827,0.15217391304347827
8426,0,10,0,0.0,0.0,0.0,0,1,5044,380,0,5,100,22,13,0,0.0,0.0
10944,0,4,0,0.2,0.8,0.2,1,0,6083,0,1,1,38,13,7,0,0.0,0.0
9563,0,16,1,0.16,0.84,0.16,1,1,-1,0,1,0,78,12,18,0,0.1282051282051282,0.1282051282051282
6475,0,3,0,1.0,0.0,1.0,0,0,1369,0,1,0,34,15,7,0,0.0,0.0
8813,1,3,0,0.846153846,0.153846154,0.846153846,0,0,-1,0,1,0,39,17,6,1,0.0,0.0
2447,0,12,0,0.64,0.36,0.64,1,0,8721,6085,0,7,87,17,16,1,0.09195402298850575,0.09195402298850575
7907,1,10,0,0.636363636,0.363636364,0.636363636,1,1,5136,47077,1,2,70,16,13,0,0.07142857142857142,0.07142857142857142
461,1,5,0,0.596153846,0.403846154,0.596153846,1,1,6672,6935,1,5,54,19,9,0,0.037037037037037035,0.037037037037037035
10205,0,9,1,1.0,0.0,1.0,0,0,276,0,1,0,128,14,12,0,0.4375,0.4375
668,0,31,0,1.0,0.0,1.0,0,1,-1,0,1,0,192,11,37,1,0.5520833333333334,0.5520833333333334
10558,0,1,0,0.93877551,0.06122449,0.93877551,0,1,1820,939835,0,4,16,7,5,1,0.0,0.0
9731,1,4,1,0.932038835,0.067961165,0.932038835,1,1,7062,1760637,1,1,34,17,7,0,0.0,0.0
5955,0,3,0,0.443708609,0.556291391,0.443708609,1,1,496,493686,1,0,32,14,6,0,0.1875,0.1875
4382,0,2,0,0.852272727,0.147727273,0.852272727,1,0,1549,5580350,0,2,33,25,6,0,0.0,0.0
4743,1,4,0,0.807692308,0.192307692,0.807692308,0,0,9202,684,0,6,42,18,7,0,0.0,0.0
2342,1,1,0,0.957446809,0.042553191,0.957446809,0,0,-1,15858,0,4,15,7,5,0,0.0,0.0
7067,1,7,3,0.666666667,0.333333333,0.666666667,0,0,-1,0,1,1,68,12,11,0,0.0,0.0
7284,0,2,0,0.992307692,0.007692308,0.992307692,0,1,1400,5664469,0,3,34,25,6,1,0.0,0.0
1562,0,8,0,0.724137931,0.275862069,0.724137931,0,1,4887,0,0,3,55,25,11,0,0.0,0.0
3941,0,3,0,0.9375,0.0625,0.9375,1,1,5065,3482258,0,3,31,22,7,1,0.0,0.0
9974,0,3,0,0.622641509,0.377358491,0.622641509,1,1,8518,8,0,10,36,16,7,1,0.0,0.0
6934,1,7,0,0.844720497,0.155279503,0.844720497,1,0,7226,52480,0,5,58,24,10,0,0.0,0.0
10664,0,1,0,0.590909091,0.409090909,0.590909091,1,1,-1,0,0,1,25,16,5,1,0.0,0.0
11423,0,10,0,1.0,0.0,1.0,0,1,5186,10408014,1,1,85,15,16,0,0.047058823529411764,0.047058823529411764
8265,0,6,0,0.19047619,0.80952381,0.19047619,1,1,5616,0,1,5,58,29,9,1,0.017241379310344827,0.017241379310344827
3635,1,8,0,1.0,0.0,1.0,0,0,8604,271832,0,4,64,17,11,0,0.0,0.0
3003,0,9,0,0.904761905,0.095238095,0.904761905,1,0,134,0,1,2,94,20,12,1,0.07446808510638298,0.07446808510638298
7500,1,5,0,0.966666667,0.033333333,0.966666667,0,0,5767,0,1,2,81,27,8,0,0.25925925925925924,0.25925925925925924
11385,0,3,0,0.0,0.0,0.0,0,0,137,0,1,0,26,19,6,0,0.038461538461538464,0.038461538461538464
1718,1,9,3,1.0,0.0,1.0,0,0,157,0,1,0,64,20,12,0,0.0,0.0
4568,1,2,1,0.90625,0.09375,0.90625,0,1,4489,0,0,3,33,25,6,0,0.0,0.0
11364,1,5,1,0.934579439,0.065420561,0.934579439,1,1,1528,3830391,1,1,52,18,8,0,0.0,0.0
1408,0,18,1,1.0,0.0,1.0,0,0,2975,302094,1,1,155,47,23,1,0.14193548387096774,0.14193548387096774
8998,1,2,0,0.777173913,0.222826087,0.777173913,1,1,9438,9638228,0,4,23,15,6,0,0.0,0.0
9597,0,15,0,0.0,0.0,0.0,0,1,5232,0,0,7,93,24,18,0,0.12903225806451613,0.12903225806451613
3043,0,2,0,0.556521739,0.443478261,0.556521739,1,0,7448,0,0,8,43,34,6,1,0.046511627906976744,0.046511627906976744
3400,0,7,0,1.0,0.0,1.0,0,0,2941,0,1,0,73,29,10,0,0.0,0.0
7931,0,2,0,0.945945946,0.054054054,0.945945946,0,0,4880,739559,0,4,29,20,6,1,0.0,0.0
1053,0,5,1,0.846153846,0.153846154,0.846153846,0,1,75,0,1,0,40,23,8,0,0.075,0.075
9613,0,2,0,0.91025641,0.08974359,0.91025641,0,1,2006,3760288,0,3,31,22,6,1,0.0,0.0
7662,3,2,1,0.0,0.0,0.0,0,0,3753,0,1,1,25,15,5,0,0.0,0.0
3979,0,2,0,0.196428571,0.803571429,0.196428571,1,0,7449,0,0,8,41,32,6,1,0.0,0.0
967,0,2,0,0.875,0.125,0.875,1,1,2658,2791701,0,4,32,23,6,1,0.0,0.0
7145,1,11,2,0.826086957,0.173913043,0.826086957,0,1,3242,0,1,2,84,20,15,0,0.0,0.0
592,0,3,0,0.366666667,0.633333333,0.366666667,1,1,2899,492072,0,4,32,12,7,0,0.0,0.0
1584,3,6,1,0.695652174,0.304347826,0.695652174,0,0,976,0,1,0,72,28,9,0,0.0,0.0
7767,2,6,1,0.969335605,0.030664395,0.969335605,1,1,3245,0,1,0,60,27,10,0,0.0,0.0
3244,1,5,0,0.977426637,0.022573363,0.977426637,1,0,8488,3147,0,5,46,17,9,0,0.0,0.0
2455,2,11,0,0.99687011,0.00312989,0.99687011,0,1,9035,613509,1,4,74,14,21,0,0.06756756756756757,0.06756756756756757
10456,0,2,0,0.20754717,0.79245283,0.20754717,1,0,4930,7447880,0,3,29,20,6,1,0.0,0.0
1002,0,8,3,0.421052632,0.578947368,0.421052632,1,1,778,0,1,0,70,23,12,0,0.05714285714285714,0.05714285714285714
8211,0,9,0,0.0,0.0,0.0,0,0,574,0,1,2,69,24,12,1,0.0,0.0
9075,1,4,0,0.805194805,0.194805195,0.805194805,1,0,6069,14592,0,5,43,20,7,0,0.0,0.0
10419,0,3,0,0.0,0.0,0.0,0,0,189,0,1,2,39,30,7,1,0.15384615384615385,0.15384615384615385
7317,0,3,0,0.956834532,0.043165468,0.956834532,0,1,7365,624160,0,5,29,20,7,1,0.0,0.0
1160,2,7,0,0.897959184,0.102040816,0.897959184,1,0,5621,49703,1,5,40,14,10,0,0.0,0.0
304,0,11,5,1.0,0.0,1.0,0,1,4505,0,1,0,85,17,14,0,0.0,0.0
2973,2,2,0,0.428571429,0.571428571,0.428571429,1,1,-1,0,1,0,29,21,6,0,0.0,0.0
3312,0,12,0,0.588235294,0.411764706,0.588235294,1,0,1669,1961063,1,0,127,61,15,1,0.2992125984251969,0.2992125984251969
1355,0,4,0,0.976470588,0.023529412,0.976470588,0,1,9021,207068,0,4,48,18,8,0,0.0,0.0
7781,0,2,0,0.888888889,0.111111111,0.888888889,1,0,5071,1355602,0,3,23,16,5,0,0.0,0.0
9294,0,2,0,0.483870968,0.516129032,0.483870968,1,1,7389,848,0,5,26,17,6,1,0.0,0.0
3857,0,2,0,0.928,0.072,0.928,0,0,-1,116234,0,4,26,17,6,1,0.0,0.0
9924,1,4,0,1.0,0.0,1.0,0,1,-1,0,1,0,62,10,7,0,0.3548387096774194,0.3548387096774194
6223,1,12,0,1.0,0.0,1.0,0,0,4004,5828815,1,0,121,46,18,1,0.1652892561983471,0.1652892561983471
8952,0,5,0,0.0,0.0,0.0,0,0,529,0,1,0,56,20,8,0,0.17857142857142858,0.17857142857142858
2592,0,5,0,0.205882353,0.794117647,0.205882353,1,1,7552,0,1,0,41,13,8,0,0.0,0.0
10600,2,8,0,0.953125,0.046875,0.953125,0,0,3850,1225017,1,3,57,17,11,1,0.0,0.0
9882,0,6,0,0.576923077,0.423076923,0.576923077,0,0,-1,331651,0,4,52,24,10,0,0.0,0.0
5023,0,3,0,0.0,0.0,0.0,0,0,6377,0,1,1,37,16,7,0,0.0,0.0
303,1,2,0,0.071428571,0.928571429,0.071428571,1,0,7295,0,1,5,40,33,5,0,0.025,0.025
1147,1,5,0,1.0,0.0,1.0,0,1,-1,0,1,0,42,15,8,0,0.0,0.0
10611,0,7,0,0.413793103,0.586206897,0.413793103,0,0,4146,2131645,0,3,47,39,11,0,0.0,0.0
5477,0,6,0,0.974358974,0.025641026,0.974358974,0,0,8096,1202540,0,4,53,20,9,1,0.0,0.0
4484,0,4,0,0.705882353,0.294117647,0.705882353,1,0,7856,152679,0,4,51,22,8,1,0.0,0.0
9009,2,7,0,0.565217391,0.434782609,0.565217391,1,0,4489,722263,0,5,56,17,11,0,0.10714285714285714,0.10714285714285714
8581,0,2,0,0.478448276,0.521551724,0.478448276,1,1,1546,4669,1,2,40,32,6,0,0.15,0.15
866,0,2,0,0.038461538,0.961538462,0.038461538,1,1,4546,8416744,0,4,31,22,6,1,0.0,0.0
1722,0,13,0,0.0,0.0,0.0,0,0,5612,0,1,5,80,33,18,1,0.1,0.1
1453,0,1,0,0.930635838,0.069364162,0.930635838,0,1,1301,82728,0,2,19,12,4,0,0.0,0.0
11271,2,6,0,0.877394636,0.122605364,0.877394636,0,1,7371,1303460,1,5,50,15,9,0,0.0,0.0
1935,0,21,2,1.0,0.0,1.0,0,0,-1,10687767,1,0,145,9,31,1,0.09655172413793103,0.09655172413793103
8113,0,9,0,0.4,0.6,0.4,1,0,2695,0,1,0,72,19,13,0,0.0,0.0
177,1,6,0,0.987012987,0.012987013,0.987012987,0,0,2403,62284,0,3,60,15,9,0,0.0,0.0
7055,0,10,2,0.0,0.0,0.0,0,0,553,0,1,2,74,25,13,1,0.08108108108108109,0.08108108108108109
10680,0,10,0,0.858490566,0.141509434,0.858490566,0,0,6212,3128,0,5,76,16,15,1,0.0,0.0
4381,0,2,0,0.875,0.125,0.875,0,0,6314,0,0,3,38,29,6,1,0.0,0.0
7727,0,11,1,1.0,0.0,1.0,0,0,804,0,1,2,385,35,15,1,0.15584415584415584,0.15584415584415584
3573,2,11,2,0.538461538,0.461538462,0.538461538,1,1,6070,0,1,4,86,28,14,0,0.09302325581395349,0.09302325581395349
7606,1,12,0,1.0,0.0,1.0,0,1,3992,5697976,1,0,118,42,17,0,0.13559322033898305,0.13559322033898305
5912,1,5,1,0.932038835,0.067961165,0.932038835,1,1,7050,1222496,1,2,43,26,8,0,0.0,0.0
5785,2,6,0,0.0,0.0,0.0,0,0,1784,0,1,0,63,16,11,1,0.15873015873015872,0.15873015873015872
4767,1,6,0,0.739130435,0.260869565,0.739130435,1,0,8151,132,0,6,55,14,9,0,0.0,0.0
3813,0,4,0,0.0,0.0,0.0,0,0,3608,0,1,0,38,22,7,0,0.02631578947368421,0.02631578947368421
10511,1,7,1,0.291666667,0.708333333,0.291666667,1,1,2974,1118394,1,2,84,28,11,1,0.047619047619047616,0.047619047619047616
9264,1,14,1,0.428571429,0.571428571,0.428571429,1,1,-1,0,1,0,41,14,12,0,0.2682926829268293,0.2682926829268293
6669,3,6,0,0.0,1.0,0.0,0,0,2719,296455,1,1,65,33,9,1,0.0,0.0
9412,0,1,0,0.0,0.0,0.0,0,0,396,0,1,0,33,25,5,0,0.0,0.0
19,1,2,0,0.97716895,0.02283105,0.97716895,0,1,3932,927214,0,2,27,19,6,0,0.14814814814814814,0.14814814814814814
398,3,2,0,0.1,0.9,0.1,1,0,968,957082,1,6,27,13,5,1,0.037037037037037035,0.037037037037037035
200,0,15,0,0.909090909,0.090909091,0.909090909,0,0,-2,9675493,1,0,129,8,23,1,0.023255813953488372,0.023255813953488372
1039,0,4,0,0.0,1.0,0.0,0,0,7083,17964,1,3,49,30,7,0,0.0,0.0
3508,2,4,2,0.0,1.0,0.0,0,0,8348,1,1,10,42,16,8,1,0.0,0.0
7209,0,6,0,0.924719101,0.075280899,0.924719101,1,0,7119,32633,1,4,50,24,11,0,0.04,0.04
1786,1,6,0,0.941704036,0.058295964,0.941704036,1,0,5886,184,0,6,43,15,9,0,0.0,0.0
5532,0,9,0,1.0,0.0,1.0,0,0,2294,4441098,1,1,71,10,12,1,0.0,0.0
8349,1,5,0,0.901515152,0.098484848,0.901515152,1,1,-1,219669,1,4,44,17,8,1,0.0,0.0
8149,0,1,0,0.47826087,0.52173913,0.47826087,1,1,-1,2274178,0,3,31,22,6,1,0.0,0.0
2684,0,2,0,0.936363636,0.063636364,0.936363636,1,1,3291,1165573,0,2,26,17,6,1,0.0,0.0
9035,1,13,0,1.0,0.0,1.0,0,0,4004,5828815,1,0,127,50,18,1,0.14960629921259844,0.14960629921259844
9410,0,13,0,0.852941176,0.147058824,0.852941176,0,1,1925,2709,0,5,88,17,16,1,0.0,0.0
2012,0,6,0,0.078125,0.921875,0.078125,0,1,3206,0,1,0,88,21,11,0,0.22727272727272727,0.22727272727272727
10619,1,3,0,0.8125,0.1875,0.8125,0,1,4822,209887,1,4,41,20,6,0,0.0,0.0
8869,0,12,2,1.0,0.0,1.0,0,0,7816,0,1,2,248,14,35,0,0.23790322580645162,0.23790322580645162
457,0,3,0,0.354330709,0.645669291,0.354330709,1,0,8520,8,0,10,31,16,6,1,0.0,0.0
4649,0,10,0,0.0,0.0,0.0,0,1,8674,847119,1,3,68,20,13,0,0.14705882352941177,0.14705882352941177
2377,1,11,0,0.852941176,0.147058824,0.852941176,1,1,3075,438190,1,4,68,9,14,1,0.11764705882352941,0.11764705882352941
3295,4,6,3,1.0,0.0,1.0,0,0,-1,0,1,2,56,15,9,0,0.0,0.0
11149,0,3,0,0.0,0.0,0.0,0,0,116,692389,1,0,30,16,8,1,0.06666666666666667,0.06666666666666667
2406,1,2,0,0.151832461,0.848167539,0.151832461,1,1,3496,4661621,0,3,23,14,6,1,0.0,0.0
6596,0,10,0,0.857142857,0.142857143,0.857142857,0,0,3596,286175,0,4,93,21,13,0,0.0,0.0
10491,0,4,0,0.948051948,0.051948052,0.948051948,0,1,2101,124276,0,0,43,17,7,1,0.13953488372093023,0.13953488372093023
6152,0,7,3,0.0,0.0,0.0,0,0,2130,0,1,0,57,14,10,0,0.0,0.0
6745,0,2,0,0.721311475,0.278688525,0.721311475,0,0,4913,0,0,3,30,21,6,1,0.0,0.0
8430,1,3,0,0.948717949,0.051282051,0.948717949,0,0,-1,2619581,0,2,29,21,7,0,0.0,0.0
5487,1,6,0,0.0,0.0,0.0,0,0,-2,0,1,0,61,14,11,0,0.06557377049180328,0.06557377049180328
11168,0,3,0,0.897727273,0.102272727,0.897727273,0,0,152,5008870,1,0,69,27,7,1,0.37681159420289856,0.37681159420289856
4711,1,9,0,0.465686275,0.534313725,0.465686275,1,1,2654,162125,0,4,66,18,12,0,0.09090909090909091,0.09090909090909091
5061,2,6,0,1.0,0.0,1.0,0,0,6638,0,1,0,60,26,10,0,0.08333333333333333,0.08333333333333333
6952,1,2,0,0.604651163,0.395348837,0.604651163,1,1,4174,0,0,3,27,19,6,0,0.0,0.0
1783,0,5,0,0.666666667,0.333333333,0.666666667,0,0,257,0,1,2,45,13,8,0,0.0,0.0
3210,2,9,0,0.774647887,0.225352113,0.774647887,1,1,5720,3196,1,7,67,18,12,0,0.23880597014925373,0.23880597014925373
10655,2,7,2,0.878378378,0.121621622,0.878378378,0,0,768,1037324,1,2,54,17,10,1,0.0,0.0
9417,0,2,0,0.5,0.5,0.5,0,0,806,45133,0,1,22,13,6,1,0.045454545454545456,0.045454545454545456
1010,0,6,1,0.5,0.5,0.5,0,0,3317,0,1,2,67,21,9,0,0.0,0.0
107,1,7,0,1.0,0.0,1.0,0,1,3993,5707171,1,0,76,50,10,0,0.10526315789473684,0.10526315789473684
3593,1,5,0,0.803874092,0.196125908,0.803874092,1,0,7559,1695,1,7,56,19,9,1,0.10714285714285714,0.10714285714285714
5998,1,10,2,1.0,0.0,1.0,0,0,1570,5697557,1,1,103,31,14,0,0.04854368932038835,0.04854368932038835
5859,0,5,0,0.894736842,0.105263158,0.894736842,1,0,7681,295329,0,3,38,18,8,1,0.02631578947368421,0.02631578947368421
1277,0,3,0,0.411764706,0.588235294,0.411764706,1,1,220,0,1,0,26,18,7,0,0.0,0.0
6273,0,3,0,1.0,0.0,1.0,0,0,5958,0,0,2,27,15,7,1,0.0,0.0
7841,0,8,0,0.181818182,0.818181818,0.181818182,1,1,5616,0,1,5,67,39,11,0,0.05970149253731343,0.05970149253731343
7635,1,6,0,0.564102564,0.435897436,0.564102564,1,0,5910,86075,0,5,45,16,9,0,0.0,0.0
6802,1,3,0,0.8,0.2,0.8,0,0,-1,138069,0,5,27,14,7,0,0.0,0.0
2337,0,7,1,0.8,0.2,0.8,1,0,2573,0,1,0,47,17,11,0,0.0,0.0
3333,0,12,0,0.902439024,0.097560976,0.902439024,0,0,7535,14506,0,5,92,22,15,1,0.08695652173913043,0.08695652173913043
4890,1,8,0,0.0,0.0,0.0,0,1,4503,317915,0,4,56,14,12,0,0.08928571428571429,0.08928571428571429
1494,0,2,0,0.0,1.0,0.0,1,0,7446,0,1,1,24,17,5,0,0.0,0.0
10477,1,6,0,0.727891156,0.272108844,0.727891156,1,1,7721,1492,0,5,47,19,9,0,0.0425531914893617,0.0425531914893617
1498,1,17,4,0.0,1.0,0.0,0,0,1653,0,1,0,276,31,22,0,0.3333333333333333,0.3333333333333333
10548,1,8,0,0.0,1.0,0.0,1,1,-1,0,0,0,20,12,7,0,0.45,0.45
2319,0,10,1,1.0,0.0,1.0,0,0,-1,7782684,1,1,57,10,13,0,0.05263157894736842,0.05263157894736842
10903,0,2,0,0.979452055,0.020547945,0.979452055,0,0,5232,784264,0,7,26,19,5,0,0.0,0.0
6950,1,13,0,1.0,0.0,1.0,0,0,4003,5816617,1,0,128,50,19,1,0.1796875,0.1796875
4459,0,2,0,0.535714286,0.464285714,0.535714286,1,1,-1,1009883,0,4,36,27,6,1,0.0,0.0
7354,0,1,0,0.0,0.0,0.0,0,0,-1,0,1,0,23,15,5,0,0.0,0.0
9380,1,4,1,1.0,0.0,1.0,0,0,3318,0,1,0,45,21,8,0,0.022222222222222223,0.022222222222222223
1427,1,1,0,0.834482759,0.165517241,0.834482759,0,1,1997,2273893,0,2,23,16,4,0,0.0,0.0
8414,0,3,0,1.0,0.0,1.0,0,0,5075,17732,1,6,39,14,6,1,0.0,0.0
8304,2,7,0,0.867088608,0.132911392,0.867088608,1,1,10605,7074,1,6,44,13,10,0,0.09090909090909091,0.09090909090909091
7971,0,14,1,0.483870968,0.516129032,0.483870968,1,1,-1,0,1,0,159,17,19,0,0.33962264150943394,0.33962264150943394
10146,0,2,0,0.927272727,0.072727273,0.927272727,1,1,6209,0,0,3,27,19,6,0,0.0,0.0
850,0,10,3,0.444444444,0.555555556,0.444444444,1,0,220,0,1,0,69,18,13,0,0.0,0.0
346,2,4,3,1.0,0.0,1.0,0,0,-1,641733,1,2,49,26,7,0,0.0,0.0
5803,3,4,0,0.903225806,0.096774194,0.903225806,1,1,10524,673,1,6,34,11,7,1,0.0,0.0
6705,1,12,2,1.0,0.0,1.0,0,0,1797,0,1,0,95,23,15,1,0.042105263157894736,0.042105263157894736
2648,0,13,0,0.830769231,0.169230769,0.830769231,0,1,2884,7664,0,5,117,19,17,1,0.0,0.0
6786,0,2,0,0.083333333,0.916666667,0.083333333,1,0,7296,0,0,5,34,26,6,0,0.0,0.0
2709,2,8,1,1.0,0.0,1.0,0,0,2344,13667,1,6,63,7,12,1,0.031746031746031744,0.031746031746031744
10482,0,6,4,1.0,0.0,1.0,0,0,7528,0,1,0,49,9,10,0,0.0,0.0
2388,0,9,0,0.918367347,0.081632653,0.918367347,0,0,5511,469364,0,5,74,19,13,1,0.0,0.0
1157,2,10,0,0.753968254,0.246031746,0.753968254,0,1,8759,5450,1,5,82,18,15,0,0.0975609756097561,0.0975609756097561
3204,0,2,0,0.318181818,0.681818182,0.318181818,1,0,2840,0,1,2,33,24,6,1,0.0,0.0
9648,0,17,1,0.0,1.0,0.0,1,0,883,0,1,0,148,16,24,1,0.23648648648648649,0.23648648648648649
6624,0,4,1,0.129411765,0.870588235,0.129411765,1,0,5529,5776915,1,3,38,16,7,1,0.0,0.0
